Loss Strategy,Accuracy,Macro_F1,Weighted_F1,MAE,RMSE,QWK
Uncertainty (Kendall),0.9086,0.8184,0.9131,0.127,0.4655,0.9441
Equal Weighting,0.9086,0.8199,0.913,0.1283,0.4707,0.9428
