Loss,Accuracy,Macro_F1,Weighted_F1,MAE,RMSE,QWK
CORAL (Ordinal),0.9086,0.8184,0.9131,0.127,0.4655,0.9441
CrossEntropy,0.9094,0.825,0.9128,0.1374,0.5082,0.9336
