Cross-Task Gate,Accuracy,Macro_F1,Weighted_F1,MAE,RMSE,QWK
With Gate,0.9086,0.8184,0.9131,0.127,0.4655,0.9441
Without Gate,0.9101,0.8216,0.9141,0.1274,0.4716,0.9427
